week ILI_per_1000
2013-42 0.36
2013-43 0.46
2013-44 0.46
2013-45 0.67
2013-46 0.77
2013-47 0.95
2013-48 1.23
2013-49 1.42
2013-50 1.71
2013-51 1.95
2013-52 2.23
2014-01 2.96
2014-02 4.12
2014-03 5.05
2014-04 5.79
2014-05 6.55
2014-06 6.67
2014-07 6.27
2014-08 5.54
2014-09 4.73
2014-10 3.94
2014-11 3.38
2014-12 2.88
2014-13 2.07
2014-14 1.64
2014-15 1.23
2014-16 0.90
2014-17 0.55
