week ILI_per_1000
2010-42 0.72
2010-43 0.81
2010-44 0.82
2010-45 0.94
2010-46 1.07
2010-47 1.28
2010-48 1.42
2010-49 1.71
2010-50 2.32
2010-51 3.16
2010-52 4.40
2011-01 4.98
2011-02 6.44
2011-03 8.20
2011-04 10.41
2011-05 11.04
2011-06 10.05
2011-07 7.77
2011-08 5.45
2011-09 4.12
2011-10 3.10
2011-11 2.10
2011-12 1.63
2011-13 1.14
2011-14 0.94
2011-15 0.82
2011-16 0.67
2011-17 0.52
