week ILI_per_1000
2014-42 0.35
2014-43 0.48
2014-44 0.65
2014-45 0.81
2014-46 0.85
2014-47 1.03
2014-48 1.23
2014-49 1.42
2014-50 1.75
2014-51 2.25
2014-52 2.63
2015-01 4.09
2015-02 6.14
2015-03 8.94
2015-04 10.87
2015-05 10.58
2015-06 9.98
2015-07 8.22
2015-08 6.89
2015-09 5.47
2015-10 4.35
2015-11 3.73
2015-12 3.21
2015-13 2.44
2015-14 1.90
2015-15 1.48
2015-16 1.15
2015-17 0.75
