week ILI_per_1000
2012-42 0.34
2012-43 0.46
2012-44 0.51
2012-45 0.69
2012-46 0.77
2012-47 0.89
2012-48 1.07
2012-49 1.31
2012-50 1.67
2012-51 2.24
2012-52 2.56
2013-01 3.52
2013-02 5.18
2013-03 6.64
2013-04 8.25
2013-05 9.57
2013-06 9.99
2013-07 9.72
2013-08 9.24
2013-09 7.68
2013-10 5.94
2013-11 4.31
2013-12 3.20
2013-13 2.22
2013-14 1.56
2013-15 1.14
2013-16 0.73
2013-17 0.51
